College Code,Caste,Gender,Region,Branch,Last Rank
ADIT,SC,F,AU,CSM,151342
ADIT,SC,M,AU,CSM,177457
ADIT,ST,F,AU,CSM,0
ADIT,ST,M,AU,CSM,0
ADIT,EWS,F,AU,CSM,63556.1
ADIT,EWS,M,AU,CSM,57661
ADIT,BC_A,F,AU,ECE,72132
ADIT,BC_A,M,AU,ECE,73315
ADIT,BC_B,F,AU,ECE,87200
ADIT,BC_B,M,AU,ECE,72014
ADIT,BC_C,F,AU,ECE,0
ADIT,BC_C,M,AU,ECE,0
ADIT,BC_D,F,AU,ECE,48589
ADIT,BC_D,M,AU,ECE,46429
ADIT,BC_E,F,AU,ECE,0
ADIT,BC_E,M,AU,ECE,0
ADIT,OC,F,AU,ECE,96350
ADIT,OC,M,AU,ECE,92255
ADIT,SC,F,AU,ECE,164650
ADIT,SC,M,AU,ECE,175326
ADIT,ST,F,AU,ECE,0
ADIT,ST,M,AU,ECE,171266
ADIT,EWS,F,AU,ECE,96350
ADIT,EWS,M,AU,ECE,92255
ADIT,BC_A,F,AU,EEE,90974
ADIT,BC_A,M,AU,EEE,90551
ADIT,BC_B,F,AU,EEE,132095
ADIT,BC_B,M,AU,EEE,124220
ADIT,BC_C,F,AU,EEE,0
ADIT,BC_C,M,AU,EEE,0
ADIT,BC_D,F,AU,EEE,72929
ADIT,BC_D,M,AU,EEE,70783
ADIT,BC_E,F,AU,EEE,0
ADIT,BC_E,M,AU,EEE,0
ADIT,OC,F,AU,EEE,149064
ADIT,OC,M,AU,EEE,126641
ADIT,SC,F,AU,EEE,0
ADIT,SC,M,AU,EEE,175424
ADIT,ST,F,AU,EEE,0
ADIT,ST,M,AU,EEE,0
ADIT,EWS,F,AU,EEE,149064
ADIT,EWS,M,AU,EEE,126641
ADIT,BC_A,F,AU,INF,77185
ADIT,BC_A,M,AU,INF,75099
ADIT,BC_B,F,AU,INF,90258
ADIT,BC_B,M,AU,INF,88714
ADIT,BC_C,F,AU,INF,0
ADIT,BC_C,M,AU,INF,0
ADIT,BC_D,F,AU,INF,54489
ADIT,BC_D,M,AU,INF,54397
ADIT,BC_E,F,AU,INF,0
ADIT,BC_E,M,AU,INF,0
ADIT,OC,F,AU,INF,97953
ADIT,OC,M,AU,INF,92687
ADIT,SC,F,AU,INF,174028
ADIT,SC,M,AU,INF,159617
ADIT,ST,F,AU,INF,0
ADIT,ST,M,AU,INF,0
ADIT,EWS,F,AU,INF,97953
ADIT,EWS,M,AU,INF,92687
ADIT,BC_A,F,AU,MEC,127589
ADIT,BC_A,M,AU,MEC,102839
ADIT,BC_B,F,AU,MEC,158167
ADIT,BC_B,M,AU,MEC,137053
ADIT,BC_C,F,AU,MEC,0
ADIT,BC_C,M,AU,MEC,0
ADIT,BC_D,F,AU,MEC,123553
ADIT,BC_D,M,AU,MEC,87087
ADIT,BC_E,F,AU,MEC,0
ADIT,BC_E,M,AU,MEC,0
ADIT,OC,F,AU,MEC,120149
ADIT,OC,M,AU,MEC,151414
ADIT,SC,F,AU,MEC,165162
ADIT,SC,M,AU,MEC,175198
ADIT,ST,F,AU,MEC,0
ADIT,ST,M,AU,MEC,0
ADIT,EWS,F,AU,MEC,120149
ADIT,EWS,M,AU,MEC,151414
ADTPPU,BC_A,F,AU,AGR,160847
ADTPPU,BC_A,M,AU,AGR,169919
ADTPPU,BC_B,F,AU,AGR,135568
ADTPPU,BC_B,M,AU,AGR,129187
ADTPPU,BC_C,F,AU,AGR,0
ADTPPU,BC_C,M,AU,AGR,0
ADTPPU,BC_D,F,AU,AGR,150284
ADTPPU,BC_D,M,AU,AGR,147857
ADTPPU,BC_E,F,AU,AGR,0
ADTPPU,BC_E,M,AU,AGR,0
ADTPPU,OC,F,AU,AGR,129965
ADTPPU,OC,M,AU,AGR,124824
ADTPPU,SC,F,AU,AGR,163994
ADTPPU,SC,M,AU,AGR,169762
ADTPPU,ST,F,AU,AGR,0
ADTPPU,ST,M,AU,AGR,140508
ADTPPU,EWS,F,AU,AGR,
ADTPPU,EWS,M,AU,AGR,
ADTPPU,BC_A,F,AU,AIM,35573
ADTPPU,BC_A,M,AU,AIM,33497
ADTPPU,BC_B,F,AU,AIM,27960
ADTPPU,BC_B,M,AU,AIM,27660
ADTPPU,BC_C,F,AU,AIM,46687
ADTPPU,BC_C,M,AU,AIM,0
ADTPPU,BC_D,F,AU,AIM,25163
ADTPPU,BC_D,M,AU,AIM,23618
ADTPPU,BC_E,F,AU,AIM,46477
ADTPPU,BC_E,M,AU,AIM,49442
ADTPPU,OC,F,AU,AIM,16111
ADTPPU,OC,M,AU,AIM,16088
ADTPPU,SC,F,AU,AIM,103711
ADTPPU,SC,M,AU,AIM,101799
ADTPPU,ST,F,AU,AIM,0
ADTPPU,ST,M,AU,AIM,155205
ADTPPU,EWS,F,AU,AIM,
ADTPPU,EWS,M,AU,AIM,
ADTPPU,BC_A,F,AU,CIV,87312
ADTPPU,BC_A,M,AU,CIV,115401
ADTPPU,BC_B,F,AU,CIV,99520
ADTPPU,BC_B,M,AU,CIV,94488
ADTPPU,BC_C,F,AU,CIV,0
ADTPPU,BC_C,M,AU,CIV,154654
ADTPPU,BC_D,F,AU,CIV,92547
ADTPPU,BC_D,M,AU,CIV,90802
ADTPPU,BC_E,F,AU,CIV,0
ADTPPU,BC_E,M,AU,CIV,0
ADTPPU,OC,F,AU,CIV,27014
ADTPPU,OC,M,AU,CIV,60483
ADTPPU,SC,F,AU,CIV,149315
ADTPPU,SC,M,AU,CIV,142222
ADTPPU,ST,F,AU,CIV,87061
ADTPPU,ST,M,AU,CIV,121617
ADTPPU,EWS,F,AU,CIV,
ADTPPU,EWS,M,AU,CIV,
ADTPPU,BC_A,F,AU,CSD,32005
ADTPPU,BC_A,M,AU,CSD,29982
ADTPPU,BC_B,F,AU,CSD,23508
ADTPPU,BC_B,M,AU,CSD,23407
ADTPPU,BC_C,F,AU,CSD,60880
ADTPPU,BC_C,M,AU,CSD,0
ADTPPU,BC_D,F,AU,CSD,21071
ADTPPU,BC_D,M,AU,CSD,20606
ADTPPU,BC_E,F,AU,CSD,44025
